449.6	6.05	2.7
450	6.2	2.75
465.5	6.94	2.74
475	7.25	2.49
487.5	7.46	2.24
499.5	7.255	1.95
500	7.25	2
512.5	7.15	2.725
519.4	6.94	1.65
525	6.75	1.65
535.5	6.47	1.26
546	6	1.16
550	5.8	1.15
565.5	5.55	1.15
567.5	5.51	0.97
575	5.55	1
600	5.3	0.955
612.5	5.265	0.725
625	5.75	0.75
631.4	5.95	0.69
650	5.75	1.3
665.5	5.95	1.25
675	6.15	1.15
687.5	6.49	0.75
694.9	6.54	0.65
700	6.75	0.55
